1199RAMPAGE ENTERPRISE BP              NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1200PLA ENTERPRISE BP                  NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1201GM CABS                            NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1202ALPINE PETROLEUM                   NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1203PEDDERS                            NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1204BP LEAHY PETROLEUM                 NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1205LUMLEY INSURANCE                   NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1206EXPRESS FUEL                       NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1207MILEMAKER                          NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1208CHOICE PETROLEUM                   NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1209ADVANTAGE PETROLEUM                NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1210NTH EASTN TRAVELSTOPS              NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1211AUS AUTO ACCESSORIES               NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1212PRIORITY ONE MGMT                  NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1213FIRTH PETROLEUM                    NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1214CENT MANAGE SOLUTIONS              NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1215AUST FUEL DISTRIBUTOR              NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1216KEL CAMPBELL                       NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1217WESSEL PETROLEUM                   NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1218MELB LIMO TAXI CHG                 NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1219HILL AND CO RETAIL                 NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1220AP FORD PTY LTD                    NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1221MISTEARL                           NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1222MAVIN PETROLEUM                    NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1223KINGS PARKING                      NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1224DIB GROUP                          NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1225NOVEK PTY LTD                      NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1226BETTER CHOICE                      NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1227SUNGOLD PETROLEUM                  NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1228AUTOCO GROUP                       NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1229TAREE FUELS                        NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1230OZFUEL                             NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1231FAST AND FRESH                     NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1232PARKING                            NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1233TASCO INLAND AUSTRALIA             NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1234NEXECON PTY LTD                    NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1235AKYMAN TAXI NETWORK                NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1236GULL                               NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1237RELIANCE PETROLEUM                 NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1238COLES EXPRESS                      NYYN0100NYNNNYN??????????????????????????????????????????????????????????????????????????????
1239STRASBURGER ENTERPRISES            NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1240SAFF                               NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1241BUDGET MOTEL CHAIN                 NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1242GULL                               NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1243ADELAIDE PETROLEUM                 NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1244UNITED PETROLEUM                   NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1245PEAK PETROLEUM                     NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1246EUROPCAR                           NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1247MORLAND ENERGY                     NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1248ENDEAVOUR PETROLEUM                NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1249ADVANCE PETROLEUM                  NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1250SHAHIN FAMILY TRUST                NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1251DAYGOLD                            NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1252HORIZON PETROLEUM                  NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1253WESTOIL PETROLEUM                  NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1254APCO                               NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1255LIBERTY PETROLEUM                  NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1256HAWGOOD                            NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1257AUTOLAI (RAF)                      NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1258METRO PETROLEUM                    NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1259MOGAS                              NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1260QLD FUEL GROUP                     NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1261FREEDOM FUELS                      NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1262TIP TOP DRY CLEANERS               NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1263SPARE                              NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1264SPARE                              NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1265MCDONALD & MURPHY PTY LTD          NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
1299EFTPOS ONLY                        NYYN0100NYNNNNN??????????????????????????????????????????????????????????????????????????????
